word,translation,language,sentiment,prompt_strategy
thabo,"joy, happiness",Sepedi,positive,few-shot
kgotso,"peace, tranquility",Sepedi,positive,few-shot
lerato,"love, affection",Sepedi,positive,few-shot
katleho,"success, achievement",Sepedi,positive,few-shot
tshwaro,"hope, trust",Sepedi,positive,few-shot
boitumelo,"joy, gladness",Sepedi,positive,few-shot
botho,"humanity, kindness",Sepedi,positive,few-shot
maatla,"strength, power",Sepedi,positive,few-shot
phedisano,"good health, wellness",Sepedi,positive,few-shot
kgothatso,"comfort, consolation",Sepedi,positive,few-shot
bohlale,"wisdom, intelligence",Sepedi,positive,few-shot
tshegofatso,"blessing, favor",Sepedi,positive,few-shot
boikanyego,"honesty, integrity",Sepedi,positive,few-shot
kgalemo,"friendliness, warmth",Sepedi,positive,few-shot
boiketlo,"contentment, satisfaction",Sepedi,positive,few-shot
tshepo,"trust, confidence",Sepedi,positive,few-shot
kutlwisiso,"understanding, compassion",Sepedi,positive,few-shot
boitshwarelo,"forgiveness, mercy",Sepedi,positive,few-shot
paballo,"salvation, rescue",Sepedi,positive,few-shot
thuša,"help, assistance",Sepedi,positive,few-shot
tšhomišano,"cooperation, collaboration",Sepedi,positive,few-shot
kutlwano,"understanding, empathy",Sepedi,positive,few-shot
kgalalelo,"comfort, consolation",Sepedi,positive,few-shot
bohlokwa,"importance, value",Sepedi,positive,few-shot
phetogo,"positive change, transformation",Sepedi,positive,few-shot
tsebo,"knowledge, wisdom",Sepedi,positive,few-shot
tšhwanelo,"respect, honor",Sepedi,positive,few-shot
boipelo,"life, vitality",Sepedi,positive,few-shot
tšhono,"opportunity, chance",Sepedi,positive,few-shot
tumedišo,"blessing, good fortune",Sepedi,positive,few-shot
thušo,"help, assistance",Sepedi,positive,few-shot
seriti,"dignity, honor",Sepedi,positive,few-shot
botle,"beauty, goodness",Sepedi,positive,few-shot
poloko,"safety, protection",Sepedi,positive,few-shot
pholoso,"healing, recovery",Sepedi,positive,few-shot
kagiso,"peace, harmony",Sepedi,positive,few-shot
tšhaba,"hope, expectation",Sepedi,positive,few-shot
tšhepo,"trust, faith",Sepedi,positive,few-shot
bokgoni,"ability, skill",Sepedi,positive,few-shot
hlompho,"respect, reverence",Sepedi,positive,few-shot
botšhelo,"life, existence",Sepedi,positive,few-shot
pholo,"health, wellness",Sepedi,positive,few-shot
tumelano,"agreement, harmony",Sepedi,positive,few-shot
bogale,"strength, power",Sepedi,positive,few-shot
tlotlo,"respect, honor",Sepedi,positive,few-shot
bonolo,"gentleness, kindness",Sepedi,positive,few-shot
mmogo,"unity, togetherness",Sepedi,positive,few-shot
